#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2015 05 05 16 50 250  5.0  7.0   3.0    12   7.7 287 1019.1  11.0  12.1    MM   MM +2.0    MM
2015 05 05 15 50 260  7.0 11.0   2.9    13   7.7 292 1018.6  11.4  12.1    MM   MM +2.0    MM
2015 05 05 14 50 270  6.0  8.0   3.0    12   7.3 286 1017.9  11.2  12.1    MM   MM +1.5    MM
2015 05 05 13 50 270  8.0  9.0   2.8    11   7.0 288 1017.1  11.1  12.0    MM   MM +0.7    MM
2015 05 05 12 50 260  7.0  9.0   3.0    13   7.5 282 1016.6  10.6  12.0    MM   MM +0.6    MM
2015 05 05 11 50 240  7.0  9.0   2.9    11   7.3 288 1016.4  10.7  12.0    MM   MM +0.4    MM
2015 05 05 10 50 250  8.0 10.0   2.8    12   6.9 286 1016.4  10.6  12.0    MM   MM -0.0    MM
2015 05 05 09 50 250  9.0 11.0   2.7    13   7.0 271 1016.0  11.3  11.8    MM   MM +0.0    MM
2015 05 05 08 50 250  8.0  9.0   2.7    13   7.4 281 1016.0  11.6  11.8    MM   MM +0.0    MM
2015 05 05 07 50 240  6.0  9.0   2.4    15   7.2 280 1016.2  11.3  12.0    MM   MM +0.0    MM
2015 05 05 06 50 270  6.0  8.0   2.3    13   6.9 288 1016.1  10.6  12.1    MM   MM +0.3    MM
2015 05 05 05 50 250  7.0  8.0   2.1    13   6.8 288 1016.0  11.8  12.1    MM   MM +0.0    MM
2015 05 05 04 50 240  8.0  9.0   2.0    14   6.8 287 1016.0  12.0  12.2    MM   MM +0.0    MM
2015 05 05 03 50 240  7.0  9.0   2.0    14   7.3 289 1015.8  12.0  12.2    MM   MM -0.4    MM
2015 05 05 02 50 230  5.0  6.0   1.7    15   6.5 297 1016.0  12.0  12.2    MM   MM -0.4    MM
2015 05 05 01 50 220  8.0 10.0   1.8    15   6.8 288 1016.2  11.6  12.2    MM   MM -0.4    MM
2015 05 05 00 50 190  8.0 10.0   2.0    15   8.0 289 1016.2  11.4  12.2    MM   MM -0.3    MM
2015 05 04 23 50 190  6.0  6.0   2.0    15   8.3 290 1016.4  11.0  12.2    MM   MM +0.3    MM
2015 05 04 22 50 190  4.0  4.0   1.8    15   6.8 282 1016.6  10.1  12.2    MM   MM +0.6    MM
2015 05 04 21 50 250  8.0  9.0   1.8    15   6.5 286 1016.5  10.0  12.1    MM   MM +0.8    MM
2015 05 04 20 50 190  9.0 12.0   1.4    16   6.0 282 1016.1  11.6  12.1    MM   MM +0.6    MM
2015 05 04 19 50 190  8.0  9.0   1.3    16   5.9 277 1016.0  11.6  12.1    MM   MM +0.7    MM
2015 05 04 18 50 180  7.0  8.0   1.4    21   6.6 200 1015.7  11.5  12.1    MM   MM +0.6    MM
2015 05 04 17 50 200  6.0  7.0   1.3    17   6.0 230 1015.5  11.3  12.0    MM   MM +0.7    MM
2015 05 04 16 50 230  6.0  7.0   1.3    21   5.9 215 1015.3  11.2  12.0    MM   MM +0.9    MM
2015 05 04 15 50 230  5.0  6.0   1.1     9   5.8 308 1015.1  11.1  12.0    MM   MM +1.2    MM
2015 05 04 14 50 230  5.0  6.0   1.3     8   6.4 305 1014.8  10.9  12.0    MM   MM +1.0    MM
2015 05 04 13 50 250  4.0  6.0   1.3     8   6.0 305 1014.4  10.8  12.0    MM   MM +0.7    MM
2015 05 04 12 50 290  3.0  4.0   1.3     8   6.1 309 1013.9  10.7  11.9    MM   MM +0.3    MM
2015 05 04 11 50 290  3.0  4.0   1.3     9   5.9 302 1013.8  10.6  11.9    MM   MM +0.0    MM
2015 05 04 10 50 300  4.0  6.0   1.5    10   6.1 303 1013.7  10.6  11.9    MM   MM +0.0    MM
2015 05 04 09 50 320  4.0  5.0   1.4     9   5.9 308 1013.6  10.6  11.9    MM   MM +0.0    MM
2015 05 04 08 50 330  4.0  5.0   1.4    11   5.8 301 1013.6  10.7  12.0    MM   MM +0.0    MM
2015 05 04 07 50 350  4.0  5.0   1.5    10   5.6 306 1013.6  10.8  12.0    MM   MM +0.0    MM
2015 05 04 06 50 350  5.0  7.0   1.7    11   5.8 303 1013.5  10.8  12.0    MM   MM +0.0    MM
2015 05 04 05 50 350  6.0  7.0   1.9    11   5.9 297 1013.6  10.9  12.0    MM   MM +0.0    MM
2015 05 04 04 50 350  6.0  8.0   1.7    10   5.4 305 1013.6  11.0  12.1    MM   MM -0.3    MM
2015 05 04 03 50 340  7.0  9.0   1.7    11   5.4 302 1013.7  11.1  12.2    MM   MM -0.3    MM
2015 05 04 02 50 340  8.0 10.0   1.9    11   5.8 300 1013.6  11.2  12.2    MM   MM -0.7    MM
2015 05 04 01 50 340  8.0 10.0   1.8     9   5.4 313 1013.9  11.4  12.2    MM   MM -1.1    MM
2015 05 04 00 50 350  8.0 10.0   1.8     8   5.5 310 1014.0  11.4  12.3    MM   MM -1.3    MM
2015 05 03 23 50 340  9.0 11.0   2.0     9   5.9 320 1014.3  11.4  12.3    MM   MM -1.2    MM
2015 05 03 22 50 340  9.0 11.0   1.9    10   5.9 318 1015.0  11.4  12.3    MM   MM -0.9    MM
2015 05 03 21 50 340  8.0 10.0   2.1     9   6.3 309 1015.3  11.4  12.2    MM   MM -0.8    MM
2015 05 03 20 50 350  8.0 10.0   2.0    10   6.3 312 1015.5  11.3  12.2    MM   MM -0.7    MM
2015 05 03 19 50 350  8.0  9.0   1.9    11   6.0 307 1015.9  11.2  12.1    MM   MM -0.3    MM
2015 05 03 18 50 350  7.0  9.0   1.9    11   6.2 315 1016.1  11.1  12.0    MM   MM -0.3    MM
2015 05 03 17 50 350  7.0  8.0   2.1    11   6.3 313 1016.2  11.1  12.0    MM   MM +0.0    MM
2015 05 03 16 50  10  7.0  8.0   2.2    11   6.5 315 1016.2  11.0  11.9    MM   MM +0.0    MM
2015 05 03 15 50 360  7.0  9.0   2.2    11   6.3 317 1016.4  11.0  11.9    MM   MM +0.5    MM
2015 05 03 14 50 360  8.0  9.0   2.1    11   5.9 324 1016.4  10.9  11.8    MM   MM +0.3    MM
2015 05 03 13 50 350  7.0  9.0   2.1    11   6.1 311 1016.2  10.8  11.9    MM   MM -0.0    MM
2015 05 03 12 50 350  7.0  9.0   2.1    12   5.8 314 1015.9  10.8  11.8    MM   MM -0.5    MM
2015 05 03 11 50 360  7.0  9.0   2.3    11   6.1 310 1016.1  10.8  11.8    MM   MM -0.3    MM
2015 05 03 10 50 350  8.0 10.0   2.5     8   6.4 313 1016.2  10.9  11.8    MM   MM -0.5    MM
2015 05 03 09 50 350  8.0 10.0   2.4    11   6.2 315 1016.4  10.8  11.8    MM   MM -0.4    MM
2015 05 03 08 50 350  8.0  9.0   2.7    10   6.9 309 1016.4  10.8  11.9    MM   MM -0.6    MM
2015 05 03 07 50 350  8.0 10.0   2.8    11   6.6 324 1016.7  10.8  11.9    MM   MM +0.0    MM
