#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2015 05 07 08 50  20  7.0  9.0   1.8     6   5.2 313 1020.3  11.8  12.3    MM   MM -0.4    MM
2015 05 07 07 50  20  8.0 10.0   1.9     8   5.4 306 1020.5  11.9  12.4    MM   MM +0.0    MM
2015 05 07 06 50  20 10.0 11.0   2.0     8   5.4 297 1020.4  11.9  12.6    MM   MM +0.4    MM
2015 05 07 05 50  20 10.0 12.0   1.9     9   5.3 302 1020.7  12.1  12.8    MM   MM +0.8    MM
2015 05 07 04 50 360 10.0 12.0   1.9     7   5.3 302 1020.5  12.3  12.9    MM   MM +1.0    MM
2015 05 07 03 50  10 11.0 12.0   1.9     8   5.2 310 1020.0  12.3  13.0    MM   MM +0.7    MM
2015 05 07 02 50  10 10.0 12.0   1.9     8   5.3 308 1019.9  12.5  13.1    MM   MM +0.5    MM
2015 05 07 01 50 360 10.0 12.0   1.8     6   5.4 311 1019.5  12.7  13.3    MM   MM -0.0    MM
2015 05 07 00 50 360 10.0 12.0   1.9     9   5.4 313 1019.3  12.2  13.3    MM   MM -0.7    MM
2015 05 06 23 50 360 10.0 11.0   1.8     8   5.5 301 1019.4  12.1  13.4    MM   MM -0.9    MM
2015 05 06 22 50 360  9.0 10.0   1.6     9   5.8 291 1019.7  11.8  13.3    MM   MM -0.6    MM
2015 05 06 21 50 360  7.0  9.0   1.7    10   6.3 303 1020.0  11.7  13.2    MM   MM -0.3    MM
2015 05 06 20 50  10  7.0  8.0   1.7     9   6.0 289 1020.3  11.8  13.1    MM   MM +0.0    MM
2015 05 06 19 50  10  7.0  8.0   1.7    10   6.4 291 1020.3  11.8  12.9    MM   MM +0.0    MM
2015 05 06 18 50  20  6.0  7.0   1.8     9   6.4 284 1020.3  11.8  12.7    MM   MM +0.0    MM
2015 05 06 17 50  10  6.0  7.0   1.7     9   6.6 300 1020.3  11.9  12.6    MM   MM +0.4    MM
2015 05 06 16 50  10  5.0  6.0   1.7     9   6.4 289 1020.2  11.7  12.5    MM   MM +0.8    MM
2015 05 06 15 50  10  6.0  7.0   1.8    10   6.2 286 1020.1  11.9  12.5    MM   MM +1.1    MM
2015 05 06 14 50  20  6.0  7.0   1.9    11   6.2 293 1019.9  11.7  12.4    MM   MM +0.9    MM
2015 05 06 13 50 360  6.0  8.0   2.0    10   6.5 297 1019.4  11.8  12.4    MM   MM +0.5    MM
2015 05 06 12 50 340  5.0  6.0   2.0    11   6.6 289 1019.0  11.7  12.5    MM   MM -0.0    MM
2015 05 06 11 50 330  6.0  7.0   2.0    11   7.1 291 1019.0  11.6  12.6    MM   MM -0.6    MM
2015 05 06 10 50 330  6.0  7.0   2.2    10   7.5 291 1018.9  11.8  12.7    MM   MM -0.8    MM
2015 05 06 09 50 320  4.0  5.0   2.1    11   7.2 297 1019.2  11.3  12.7    MM   MM -0.7    MM
2015 05 06 08 50 320  3.0  4.0   2.1    11   7.2 288 1019.6  11.1  12.6    MM   MM -0.5    MM
2015 05 06 07 50 310  4.0  5.0   2.0    11   7.2 279 1019.7  11.5  12.8    MM   MM -0.6    MM
2015 05 06 06 50 320  5.0  5.0   2.0    11   7.4 280 1019.9  12.0  12.7    MM   MM +0.0    MM
2015 05 06 05 50 330  5.0  6.0   2.1    11   7.4 293 1020.1  12.0  12.7    MM   MM +0.4    MM
2015 05 06 04 50 320  5.0  6.0   2.2     9   7.6 284 1020.3  12.1  12.9    MM   MM +0.6    MM
2015 05 06 03 50 330  4.0  6.0   2.0    10   7.4 294 1019.9  12.2  12.8    MM   MM +0.0    MM
2015 05 06 02 50 320  4.0  6.0   2.0    11   7.4 291 1019.7  12.5  13.0    MM   MM -0.3    MM
2015 05 06 01 50 320  4.0  5.0   2.3    11   7.6 304 1019.7  12.9  13.1    MM   MM -0.6    MM
2015 05 06 00 50 320  4.0  5.0   2.4    11   7.8 289 1019.9  12.8  13.2    MM   MM -0.5    MM
2015 05 05 23 50 320  4.0  5.0   2.4    11   7.6 298 1020.0  12.6  13.1    MM   MM -0.5    MM
2015 05 05 22 50 300  4.0  5.0   2.5    11   7.8 292 1020.3  12.5  13.1    MM   MM -0.3    MM
2015 05 05 21 50 280  4.0  5.0   2.5    12   7.4 290 1020.4  12.2  12.9    MM   MM +0.0    MM
2015 05 05 20 50 280  5.0  7.0   2.9    12   7.9 287 1020.5  12.0  12.8    MM   MM +0.0    MM
2015 05 05 19 50 280  5.0  7.0   2.9    13   8.0 276 1020.6  12.0  12.7    MM   MM +0.4    MM
2015 05 05 18 50 260  5.0  6.0   2.7    12   7.8 278 1020.5  12.1  12.6    MM   MM +0.7    MM
2015 05 05 17 50 250  4.0  6.0   2.9    12   8.1 279 1020.3  12.2  12.5    MM   MM +1.0    MM
2015 05 05 16 50 280  4.0  6.0   2.7    13   8.4 289 1020.2  12.1  12.5    MM   MM +1.5    MM
2015 05 05 15 50 280  5.0  6.0   2.8    14   8.0 288 1019.8  12.1  12.4    MM   MM +1.4    MM
2015 05 05 14 50 260  4.0  5.0   2.5    13   8.1 281 1019.3  11.9  12.4    MM   MM +1.1    MM
2015 05 05 13 50 290  5.0  6.0   2.4    11   7.8 282 1018.7  11.9  12.4    MM   MM +0.7    MM
2015 05 05 12 50 290  4.0  5.0   2.4    14   7.8 283 1018.4  11.6  12.5    MM   MM +0.7    MM
2015 05 05 11 50 260  6.0  7.0   2.9    12   8.4 291 1018.2  11.7  12.4    MM   MM +0.3    MM
2015 05 05 10 50 280  6.0  8.0   2.6    11   8.1 277 1018.0  11.8  12.2    MM   MM -0.0    MM
2015 05 05 09 50 230  8.0 10.0   2.6    15   8.0 267 1017.7  11.7  12.2    MM   MM +0.0    MM
2015 05 05 08 50 240  6.0  7.0   2.4    14   8.3 277 1017.9  12.0  12.1    MM   MM +0.0    MM
2015 05 05 07 50 220  4.0  5.0   2.1    13   8.7 269 1017.9  12.0  12.1    MM   MM +0.3    MM
2015 05 05 06 50 250  4.0  6.0   1.7    15   8.2 293 1017.8  12.2  12.1    MM   MM   MM    MM
2015 05 05 05 50 250  4.0  5.0   1.8    15   8.8 281 1017.7  12.2  12.1    MM   MM +0.4    MM
2015 05 05 04 50 230  5.0  6.0   1.8    14   8.3 281 1017.6  11.8  12.0    MM   MM +0.0    MM
2015 05 05 02 50 220  5.0  6.0   1.7    15   8.0 269 1017.3  11.5  12.2    MM   MM +0.0    MM
2015 05 05 01 50 220  6.0  7.0   1.7    15   8.2 287 1017.6  11.5  12.2    MM   MM +0.0    MM
2015 05 05 00 50 210  5.0  6.0   1.5    15   7.4 290 1017.6  10.9  12.1    MM   MM +0.0    MM
2015 05 04 23 50 260  7.0  8.0   1.5    15   7.5 281 1017.5  11.4  12.1    MM   MM +0.3    MM
2015 05 04 22 50 200  5.0  6.0   1.3    15   7.1 269 1017.7  11.8  12.1    MM   MM +0.3    MM
2015 05 04 21 50 190  5.0  6.0   1.3    16   7.6 268 1017.6  11.7  11.9    MM   MM +0.3    MM
2015 05 04 20 50 170  5.0  6.0   1.3    16   7.2 255 1017.2  11.7  11.9    MM   MM +0.6    MM
2015 05 04 19 50 190  4.0  5.0   1.3     9   6.8 299 1017.4  11.7  11.8    MM   MM +1.1    MM
2015 05 04 18 50 230  3.0  4.0   1.3    17   6.5 259 1017.3  11.6  11.7    MM   MM +1.3    MM
2015 05 04 17 50 250  5.0  6.0   1.3     9   6.2 290 1016.6  11.5  11.7    MM   MM +1.0    MM
2015 05 04 16 50 250  4.0  5.0   1.4     9   6.5 305 1016.3  11.5  11.7    MM   MM +1.2    MM
2015 05 04 15 50 260  3.0  4.0   1.4     9   6.3 318 1016.0  11.5  11.6    MM   MM +1.4    MM
2015 05 04 14 50 260  3.0  4.0   1.5    10   6.3 305 1015.6  11.5  11.5    MM   MM +1.3    MM
2015 05 04 13 50 300  4.0  6.0   1.4    10   6.0 302 1015.1  11.3  11.5    MM   MM +1.0    MM
2015 05 04 12 50 320  4.0  5.0   1.4     9   6.1 316 1014.6  11.3  11.5    MM   MM +0.7    MM
2015 05 04 11 50 310  4.0  5.0   1.6    10   6.1 319 1014.3  11.2  11.5    MM   MM +0.7    MM
2015 05 04 10 50 340  4.0  5.0   1.8     9   6.1 314 1014.1  11.2  11.6    MM   MM +0.5    MM
2015 05 04 09 50 340  4.0  6.0   1.7    10   5.8 302 1013.9  11.2  11.7    MM   MM +0.5    MM
2015 05 04 08 50 340  5.0  6.0   1.9     7   6.0 342 1013.6  11.3  11.8    MM   MM +0.0    MM
2015 05 04 07 50 360  5.0  6.0   1.9    10   6.2 314 1013.6  11.3  11.8    MM   MM +0.0    MM
2015 05 04 06 50 360  7.0  8.0   1.9    10   6.1 311 1013.4  11.4  11.7    MM   MM +0.0    MM
2015 05 04 05 50  10  7.0  8.0   2.0    10   5.9 303 1013.4  11.5  11.8    MM   MM +0.3    MM
2015 05 04 04 50  10  7.0  8.0   2.0    10   6.0 313 1013.5  11.6  11.8    MM   MM +0.3    MM
2015 05 04 03 50 360  8.0 10.0   2.2    11   5.9 303 1013.2  11.6  11.8    MM   MM -0.5    MM
2015 05 04 02 50 360  8.0 10.0   2.0    10   6.0 318 1013.1  11.8  11.9    MM   MM -0.7    MM
2015 05 04 01 50 360  8.0 10.0   2.1     9   6.0 318 1013.2  12.1  11.9    MM   MM -1.0    MM
2015 05 04 00 50 360  8.0  9.0   2.1    10   6.0 318 1013.7  12.1  11.9    MM   MM -0.9    MM
2015 05 03 23 50 360  9.0 10.0   2.1    11   6.1 319 1013.8  11.9  11.7    MM   MM -0.9    MM
2015 05 03 22 50  10  8.0 10.0   2.1    11   6.2 329 1014.2  11.9  11.6    MM   MM -0.7    MM
2015 05 03 21 50  10  8.0 10.0   2.2    11   6.1 315 1014.6  11.7  11.6    MM   MM -0.7    MM
2015 05 03 20 50 360  8.0  9.0   2.3    11   6.2 318 1014.7  11.5  11.4    MM   MM -0.5    MM
2015 05 03 19 50 360  8.0  9.0   2.3    11   6.0 316 1014.9  11.4  11.3    MM   MM +0.0    MM
2015 05 03 18 50  10  8.0  9.0   2.4    11   6.6 313 1015.3  11.3  11.3    MM   MM +0.0    MM
2015 05 03 17 50  20  7.0  9.0   2.5    11   6.7 321 1015.2  11.2  11.2    MM   MM +0.0    MM
2015 05 03 16 50  20  9.0 11.0   2.5    11   6.4 322 1015.1  11.2  11.1    MM   MM +0.0    MM
2015 05 03 15 50  20  9.0 10.0   2.4    11   6.2 315 1015.2  11.2  11.0    MM   MM +0.5    MM
2015 05 03 14 50  20  9.0 10.0   2.5    11   6.3 322 1015.2  11.0  10.9    MM   MM +0.4    MM
2015 05 03 13 50  10  8.0 10.0   2.5    11   6.2 320 1015.0  11.0  10.9    MM   MM -0.0    MM
2015 05 03 12 50  20  9.0 11.0   2.8    12   6.5 318 1014.7  10.9  10.8    MM   MM -0.5    MM
2015 05 03 11 50  10  9.0 11.0   2.8    10   6.5 328 1014.8  10.9  10.7    MM   MM -0.6    MM
